index,name,class,status
0,Nihilium,anti-core,mythopoetic
1-118,Hydrogen-Oganesson,conventional,established+interpretive
119,Aetherium,meta,mythopoetic+defined
120,Azoth I,meta,mythopoetic+defined
121,Azoth II,meta,mythopoetic+defined
122,Orichalcum,meta,mythopoetic+defined
123,Philosophon,meta,mythopoetic+defined
124,Mnemosyne,meta,mythopoetic+defined
125,Nullium,meta,mythopoetic+defined
126,Aetherium II,subtle,mythopoetic+defined
127,Chronoton,subtle,mythopoetic+defined
128,Eidolonium,subtle,mythopoetic+defined
129,Mycelium Aurum,subtle,mythopoetic+defined
130,Fractalon,subtle,mythopoetic+defined
131,Anima Lux,subtle,mythopoetic+defined
132,Vacansium,anti,mythopoetic+defined
133,Oblivionite,anti,mythopoetic+defined
134,Contrarion,anti,mythopoetic+defined
135,Paradoxonium,anti,mythopoetic+defined
136,Silencium,anti,mythopoetic+defined
137,Annihilene,anti,mythopoetic+defined
138,Erasium,anti,mythopoetic+defined
139,Cryptonullium,anti,mythopoetic+defined
140,Thanatherium,anti,mythopoetic+defined
